id,name,list_name,id_document,date_of_birth,citizenship,source,match_key
san_0079,Hiro Davis,EU,DOC-93132712,1994-04-13,IN,synthetic watchlist,san_78
san_0080,Lakshmi Chatterjee,OFAC,DOC-40240415,2003-01-19,LU,synthetic watchlist,san_79
san_0081,Olivia Chen,UN,DOC-79625285,1963-10-13,SG,synthetic watchlist,san_80
san_0082,Zhang Ali,UK,DOC-31465617,1970-05-04,IN,synthetic watchlist,san_81
san_0083,Karan Martinez,UK,DOC-77069441,1975-04-13,NL,synthetic watchlist,san_82
san_0084,Meera Sato,OFAC,DOC-53789586,1979-04-07,LU,synthetic watchlist,san_83
san_0085,Emily Banerjee,UN,DOC-24519884,1970-04-13,SG,synthetic watchlist,san_84
san_0086,Sofia Smith,UK,DOC-46206750,1961-02-26,US,synthetic watchlist,san_85
san_0087,Zhang Martinez,UK,DOC-31698125,1977-03-19,AE,synthetic watchlist,san_86
san_0088,Sarah Chopra,UK,DOC-34838068,1957-01-12,SG,synthetic watchlist,san_87
san_0089,Ananya Moore,UN,DOC-14606009,1974-12-26,NL,synthetic watchlist,san_88
san_0090,Ishaan Sharma,UK,DOC-90419052,1983-04-27,FR,synthetic watchlist,san_89
san_0091,Mira Smith,EU,DOC-18008800,1982-03-04,DE,synthetic watchlist,san_90
san_0092,Ritika Wilson,UK,DOC-78307526,1985-08-30,LU,synthetic watchlist,san_91
san_0093,Yash Das,UK,DOC-26724892,1978-05-20,SG,synthetic watchlist,san_92
san_0094,Ishaan Wilson,UK,DOC-21834634,1957-01-27,IN,synthetic watchlist,san_93
san_0095,Hannah Martinez,UK,DOC-79698297,1990-11-06,MU,synthetic watchlist,san_94
san_0096,Varun Joshi,EU,DOC-18637945,1995-08-03,FR,synthetic watchlist,san_95
san_0097,Wei Brown,EU,DOC-10585686,2001-09-13,SG,synthetic watchlist,san_96
san_0098,Hiro Anderson,EU,DOC-71579949,1964-04-03,MU,synthetic watchlist,san_97
san_0099,Chen White,UK,DOC-83525263,1964-01-02,NL,synthetic watchlist,san_98
san_0100,Tara Wilson,OFAC,DOC-78662734,1982-08-13,FR,synthetic watchlist,san_99
